Approval Date,Drug Name,Submission,Active Ingredients,Sponsor
01/09/2015,PROCARDIANDA   #018482,SUPPL-52,NIFEDIPINE,PFIZER
01/09/2015,PROCARDIA XLNDA   #019684,SUPPL-29,NIFEDIPINE,PFIZER
01/12/2015,CAVERJECT IMPULSENDA   #021212,SUPPL-12,ALPROSTADIL,PFIZER
01/12/2015,CLEOCIN TNDA   #050615,SUPPL-13,CLINDAMYCIN PHOSPHATE,PFIZER
01/13/2015,LONITENNDA   #018154,SUPPL-26,MINOXIDIL,PFIZER
01/23/2015,DEPO-PROVERANDA   #020246,SUPPL-54,MEDROXYPROGESTERONE ACETATE,PFIZER
01/23/2015,DEPO-SUBQ PROVERA 104NDA   #021583,SUPPL-26,MEDROXYPROGESTERONE ACETATE,PFIZER
01/27/2015,FRAGMINNDA   #020287,SUPPL-62,DALTEPARIN SODIUM,PFIZER
01/30/2015,DEPO-PROVERANDA   #020246,SUPPL-53,MEDROXYPROGESTERONE ACETATE,PFIZER
01/30/2015,DEPO-SUBQ PROVERA 104NDA   #021583,SUPPL-25,MEDROXYPROGESTERONE ACETATE,PFIZER
01/06/2016,ZINECARDNDA   #020212,SUPPL-18,DEXRAZOXANE HYDROCHLORIDE,PFIZER
01/08/2016,MINIPRESSNDA   #017442,SUPPL-44,PRAZOSIN HYDROCHLORIDE,PFIZER
01/15/2016,CLEOCINNDA   #050537,SUPPL-37,CLINDAMYCIN PHOSPHATE,PFIZER
01/15/2016,CLEOCIN TNDA   #050537,SUPPL-37,CLINDAMYCIN PHOSPHATE,PFIZER
01/15/2016,CLEOCIN TNDA   #050600,SUPPL-14,CLINDAMYCIN PHOSPHATE,PFIZER
01/15/2016,CLEOCIN TNDA   #050615,SUPPL-14,CLINDAMYCIN PHOSPHATE,PFIZER
01/21/2016,CLEOCIN HYDROCHLORIDENDA   #050162,SUPPL-94,CLINDAMYCIN HYDROCHLORIDE,PFIZER
01/09/2017,DEPO-TESTOSTERONEANDA  #085635,SUPPL-38,TESTOSTERONE CYPIONATE,PFIZER
01/26/2017,FRAGMINNDA   #020287,SUPPL-68,DALTEPARIN SODIUM,PFIZER
01/26/2017,TOVIAZNDA   #022030,SUPPL-12,FESOTERODINE FUMARATE,PFIZER
01/31/2017,DEPO-SUBQ PROVERA 104NDA   #021583,SUPPL-23,MEDROXYPROGESTERONE ACETATE,PFIZER
01/18/2018,MERREM IVNDA   #050706,SUPPL-39,MEROPENEM,PFIZER
01/22/2018,DIFLUCANNDA   #019949,SUPPL-68,FLUCONAZOLE,PFIZER
01/22/2018,DIFLUCANNDA   #020090,SUPPL-49,FLUCONAZOLE,PFIZER
01/17/2019,ALDACTAZIDENDA   #012616,SUPPL-78,HYDROCHLOROTHIAZIDE; SPIRONOLACTONE,PFIZER
01/16/2020,IXIFIBLA   #761072,SUPPL-6,INFLIXIMAB-QBTX,PFIZER INC
01/24/2020,TRAZIMERABLA   #761081,SUPPL-2,TRASTUZUMAB-QYYP,PFIZER INC
01/30/2020,CAMPTOSARNDA   #020571,SUPPL-51,IRINOTECAN HYDROCHLORIDE,PFIZER INC
01/15/2021,AZULFIDINENDA   #007073,SUPPL-129,SULFASALAZINE,PFIZER
01/15/2021,AZULFIDINE EN-TABSNDA   #007073,SUPPL-129,SULFASALAZINE,PFIZER
01/22/2021,LORBRENANDA   #210868,SUPPL-2,LORLATINIB,PFIZER
01/06/2022,ZITHROMAXNDA   #050733,SUPPL-49,AZITHROMYCIN,PFIZER
01/14/2022,CIBINQONDA   #213871,ORIG-1,ABROCITINIB,PFIZER
01/27/2022,CAMPTOSARNDA   #020571,SUPPL-52,IRINOTECAN HYDROCHLORIDE,PFIZER INC
01/27/2022,CAMPTOSARNDA   #020571,SUPPL-53,IRINOTECAN HYDROCHLORIDE,PFIZER INC
01/13/2023,HALCIONNDA   #017892,SUPPL-57,TRIAZOLAM,PFIZER
01/17/2023,DIFLUCANNDA   #019949,SUPPL-73,FLUCONAZOLE,PFIZER
01/17/2023,DIFLUCAN IN DEXTROSE 5% IN PLASTIC CONTAINERNDA   #019950,SUPPL-72,FLUCONAZOLE,PFIZER
01/17/2023,DIFLUCAN IN SODIUM CHLORIDE 0.9%NDA   #019950,SUPPL-72,FLUCONAZOLE,PFIZER
01/17/2023,DIFLUCAN IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINERNDA   #019950,SUPPL-72,FLUCONAZOLE,PFIZER
01/17/2023,DIFLUCANNDA   #020090,SUPPL-54,FLUCONAZOLE,PFIZER
01/31/2023,SYNARELNDA   #019886,SUPPL-39,NAFARELIN ACETATE,PFIZER
01/17/2025,ELELYSOBLA   #022458,SUPPL-33,TALIGLUCERASE ALFA,PFIZER
